site_id,name,address,district,state,latitude,longitude,gis_accuracy
S548,Three gates besides Bhadrakali temple,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S549,Tomb,Ahmedabad,Ahmedabad,Gujarat,23.023754,72.589276,exact
S550,Tomb of Mir Abu Turab,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S551,Tombs of Queens of Ahmed Shah,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S552,Dada Hari's Mosque & Tomb ,Asarwa ,Ahmedabad,Gujarat,23.047249,72.608805,"approximate (area: Asarwa , Ahmedabad)"
S553,Dada (Bai) Hari's Stepwell,Asarwa ,Ahmedabad,Gujarat,23.047249,72.608805,"approximate (area: Asarwa , Ahmedabad)"
S554,Malik Alam's Mosque ,Dani Limda,Ahmedabad,Gujarat,22.996491,72.577403,"approximate (area: Dani Limda, Ahmedabad)"
S555,Bahlol Khan Gazi's Mosque,Dholka,Ahmedabad,Gujarat,22.734401,72.44129,exact
S556,Jami Masjid ,Dholka,Ahmedabad,Gujarat,22.485847,73.537423,approximate (name matched in Gujarat)
S557,Khan Masjid,Dholka,Ahmedabad,Gujarat,22.733819,72.431344,exact
S558,Malav Tank,Dholka,Ahmedabad,Gujarat,22.726607,72.441186,"approximate (area: Dholka, Ahmedabad)"
S559,Ruined Building,Dholka,Ahmedabad,Gujarat,22.726607,72.441186,"approximate (area: Dholka, Ahmedabad)"
S560 ,Jethabhai's Stepwell,Isanpur,Ahmedabad,Gujarat,,,exact
S561,Small Stone Masjid (Gumle Masjid),Isanpur,Ahmedabad,Gujarat,22.98113,72.601295,"approximate (area: Isanpur, Ahmedabad)"
S562,Cazi Masjid ,Mandal,Ahmedabad,Gujarat,23.288383,71.917885,"approximate (area: Mandal, Ahmedabad)"
S563,Jami Masjid ,Mandal,Ahmedabad,Gujarat,22.485847,73.537423,approximate (name matched in Gujarat)
S564,Sayyid Masjid ,Mandal,Ahmedabad,Gujarat,23.288383,71.917885,"approximate (area: Mandal, Ahmedabad)"
S565,Small stone Mosque (Rani Masjid) ,Paldi ,Ahmedabad,Gujarat,23.014553,72.563543,"approximate (area: Paldi , Ahmedabad)"
S566,Bibi's Masjid ,Rajpur/Hirapur,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (district: Ahmedabad, Gujarat)"
S567,Masjid of Ragusha Pir ,Ranpur ,Ahmedabad,Gujarat,22.359078,71.867252,"approximate (area: Ranpur , Ahmedabad)"
S651,Gateway of Khan Sarover,Sandsarpati,Patan,Gujarat,23.773753,71.679858,"approximate (district: Patan, Gujarat)"
S652,Jami Masjid,Siddhpur,Patan,Gujarat,22.485847,73.537423,approximate (name matched in Gujarat)
S653,Ruins of Rudra Mahalaya temple,Siddhpur,Patan,Gujarat,23.918279,72.368185,"approximate (area: Siddhpur, Patan)"
S654,Group of temples,Khed & Roda,Sabarkantha,Gujarat,22.26458,69.252729,approximate (name matched in Gujarat)
S655,Tomb of Sikandarsah,Prantij,Sabarkantha,Gujarat,23.437209,72.851806,"approximate (area: Prantij, Sabarkantha)"
S656,Ancient site comprising S.Plot No.535,Kamrej,Surat,Gujarat,21.279777,72.948269,"approximate (area: Kamrej, Surat)"
S657,Dargah known as Khawaja Dana Saheb's Rouza,Surat,Surat,Gujarat,21.209489,72.831706,"approximate (area: Surat, Surat)"
S658,Old Dutch & Armenian Tombs & Cemeteries,Surat,Surat,Gujarat,21.209489,72.831706,"approximate (area: Surat, Surat)"
S659,Old English Tombs,Surat,Surat,Gujarat,21.209489,72.831706,"approximate (area: Surat, Surat)"
S660,Tomb of Khawaja Safar Sulemani,Surat,Surat,Gujarat,21.209489,72.831706,"approximate (area: Surat, Surat)"
S661,Fateh Burj,Vyara,Tapi,Gujarat,21.114607,73.395022,exact
S662,Microlithic Tools of Anarapura,Anarapura,Vadodara,Gujarat,22.297314,73.194257,"approximate (district: Vadodara, Gujarat)"
S663,Hira Gate,Dabhoi,Vadodara,Gujarat,22.133617,73.4201,"approximate (area: Dabhoi, Vadodara)"
